target	category	response	AI	Annotator 1	Annotator 2	Annotator3
scuola	AZIONI	studiare	S	S	S	S
umore	CARA	lunatico	S	S	S	N
canoa	PERSONE	ragazzo	S	S	S	S
clima	LUOGHI	caldo	N	FS	N	N
schema	AZIONI	scrivere	S	S	S	S
incubo	AZIONI	genitori	N	FN	N	N
indagine	FUNZIONI	Sherlock__Holmes	N	FN	N	S
preparazione	LUOGHI	risultati	N	N	N	S
circo	FUNZIONI	pagliaccio	N	N	N	N
teschio	PERSONE	pirati	S	S	S	S
uova	OGGETTI	sbattitore	S	S	S	S
filosofia	LUOGHI	scuola	S	S	S	S
nomade	FUNZIONI	tribu_	N	FS	N	N
zebra	EMOZIONI	curiosita_	S	S	S	S
problema	OGGETTI	rabbia	N	FS	N	FN
ladro	EMOZIONI	soldi	N	N	N	N
difesa	FUNZIONI	proteggere	S	S	S	S
chitarra	PERSONE	insegnate	N	S	S	S
gioia	LUOGHI	positivita_	N	S	N	N 
uragano	FUNZIONI	distruggere	S	S	S	S
ladro	OGGETTI	mano	S	S	S	S
liberta_	CARA	dogana	N	FN	N	N 
cantiere	PERSONE	lavori	N	FN	N	N
talento	EMOZIONI	scarpe	N	N	N	N
preghiera	PERSONE	uomini	S	S	S	S
amore	EMOZIONI	nostalgia	S	S	S	S
passeggero	PERSONE	madre	S	S	S	S
incantesimo	LUOGHI	fascino	N	N	N	N 
distruzione	EMOZIONI	mondo	N	N	N	N
uniforme	EMOZIONI	poliziotto	N	N	N	N 
alluvione	AZIONI	distruggere	S	S	S	S
pace	FUNZIONI	coesistenza	S	S	S	S
destino	FUNZIONI	sperare	S	S	S	S
calamita	EMOZIONI	frigorifero	N	N	N	N
folla	CARA	casino	N	S	S	S
silenzio	PERSONE	alunni	S	S	S	S
piacere	OGGETTI	felicita_	N	FS	N	FS
scopo	CARA	indefinito	S	S	S	S
chitarra	LUOGHI	musica	N	FS	N	FN
negozio	AZIONI	soldi	N	N	N	S
cemento	LUOGHI	sentiero	S	S	S	S
tristezza	LUOGHI	emozione	N	FS	N	N
chiesa	FUNZIONI	credenti	N	FN	FN	FS
gioia	FUNZIONI	felicita	S	FS	FS	S
urna	FUNZIONI	restare	S	S	FS	N
avvocato	LUOGHI	prigione	S	S	S	S
nebbia	LUOGHI	mare	S	S	S	N
comizio	LUOGHI	palazzo	S	S	S	S
nomade	OGGETTI	viaggia	N	N	N	N
insegnante	OGGETTI	interrogazione	N	S	FS	S
gioia	LUOGHI	allegria	N	N	N	N
amicizia	AZIONI	amici	N	N	N	N
nomade	LUOGHI	stati	N	S	S	S
alluvione	PERSONE	dispersi	S	S	S	S
corona	EMOZIONI	sovrani	N	N	N	N
stile	EMOZIONI	penna	N	N	N	N
nomade	LUOGHI	stato	N	S	S	S
banchiere	LUOGHI	banca	S	S	S	S
maturita_	PERSONE	cari	S	S	N	S
infermiera	AZIONI	curare	S	S	S	S
silenzio	EMOZIONI	ristoro	N	FS	S	S
piacere	OGGETTI	abbraccio	N	S	FS	FS
distruzione	LUOGHI	citta_	S	S	S	S
cacciatore	LUOGHI	proiettile	S	N	N	FS
valanga	LUOGHI	Italia	S	S	S	S
prigione	AZIONI	tribunale	N	N	N	FS
calamita	CARA	negozio	N	N	N	N
soldato	LUOGHI	guerra	N	S	S	S
nebbia	FUNZIONI	non__vedere	S	S	S	FS
labirinto	CARA	difficile	S	S	S	S
forchetta	CARA	appuntita	S	S	S	S
crisi	LUOGHI	blocchi__economici	N	FS	N	N
dolore	LUOGHI	interiore	N	S	N	S
uragano	PERSONE	paura	N	N	N	FS
noia	OGGETTI	apatia	N	S	N	N
patto	AZIONI	stringere	S	S	S	S
gioia	OGGETTI	libro	S	S	S	S
infermiera	EMOZIONI	pronto__soccorso	N	N	N	N
distruzione	LUOGHI	terremoto	N	FN	N	FS
custode	AZIONI	cancello	N	FN	N	N
turista	AZIONI	scoprire	S	S	S	S
forchetta	FUNZIONI	prendere	S	S	S	S
preparazione	EMOZIONI	sprono	S	FN	N	N
giorno	CARA	pieno	S	S	S	S
indagine	PERSONE	detective	S	S	S	S
amarezza	LUOGHI	cucina	S	S	S	FS
silenzio	CARA	piacevole	S	S	S	S
sorriso	EMOZIONI	solarita_	S	S	S	S
carattere	CARA	forte	S	S	S	S
affetto	OGGETTI	cioccolato	S	S	S	S
patto	AZIONI	obbligare	S	S	S	S
ernia	PERSONE	dottore	S	S	S	S
ladro	EMOZIONI	paura	S	S	S	S
uragano	LUOGHI	florida	N	S	S	S
giardino	OGGETTI	natura	S	S	FS	S
affetto	PERSONE	abbracci	N	FN	N	FS
capriccio	AZIONI	urlare	S	S	S	S
difesa	LUOGHI	base	N	S	S	S
battesimo	OGGETTI	chiesa	S	S	N	S
cantiere	AZIONI	gru	N	N	N	N
alba	LUOGHI	freddo	N	N	N	N
prigioniero	LUOGHI	chiuso	N	S	N	S
giustizia	LUOGHI	giudizio	N	N	N	N
sveglia	OGGETTI	iPad	S	S	S	S
gentilezza	CARA	rende__se__stessi__e__gli__altri__felici	S	S	S	S
area	EMOZIONI	poligoni	N	N	N	N
rissa	CARA	caotica	S	S	S	S
esplorazione	EMOZIONI	felicita_	S	S	S	S
tristezza	OGGETTI	pianto	N	S	N	FS
regina	AZIONI	governare	S	S	S	S
sorso	FUNZIONI	risanamento	S	S	S	S
guaio	CARA	piccolo	S	S	S	FS
simbolo	LUOGHI	testa	N	FS	N	S
indifferenza	LUOGHI	pubblici	N	FS	S	FN
protesta	LUOGHI	diritti	N	FN	N	FN
corona	LUOGHI	regina	S	N	N	S
ospedale	OGGETTI	puntura	N	S	N	FS
amore	LUOGHI	comune	N	S	N	FN
maturita_	FUNZIONI	adulto	N	FS	FS	FS
alba	LUOGHI	colori	N	N	N	N
soldato	LUOGHI	trincea	N	S	S	S
liberta_	EMOZIONI	rivincita	S	S	S	FS
scherzo	PERSONE	amico	S	S	S	S
trapano	EMOZIONI	fastidio	S	S	S	S
zebra	FUNZIONI	pascolare	S	S	S	FS
legge	FUNZIONI	giudice	N	FS	S	N
scuola	PERSONE	preside	S	S	S	S
maturita_	EMOZIONI	studio	N	N	N	N
urna	OGGETTI	scatola	S	S	S	S
separazione	OGGETTI	divorzio	N	S	FS	FS
scuola	AZIONI	scrivere	S	S	S	S
canoa	AZIONI	remo	N	N	S	N
talento	OGGETTI	scarpe	S	S	S	N
cronaca	AZIONI	uccidere	S	S	S	S
custode	EMOZIONI	avarizia	S	S	S	FS
teschio	OGGETTI	testa	S	S	S	S
schiaffo	EMOZIONI	sconforto	S	S	S	S
negozio	LUOGHI	cartoleria	S	S	S	S
nebbia	EMOZIONI	preoccupazione	S	S	S	S
piacere	LUOGHI	amore	N	FS	N	FS
separazione	LUOGHI	comune	N	FS	S	S
taverna	PERSONE	amici	S	S	S	S
forchetta	OGGETTI	stridere__contro__i__denti	N	N	N	N
morale	OGGETTI	stato__d_animo	N	S	N	FS
corona	OGGETTI	smeraldi	S	S	S	S
calvario	LUOGHI	disordine	N	S	N	N
abbandono	FUNZIONI	sofferenza	S	FS	S	FS
cantiere	AZIONI	rinnovare	S	S	S	S
ragione	PERSONE	sentimento	N	N	N	N
amore	OGGETTI	abbraccio	N	S	FS	FS
silenzio	AZIONI	rispettare	S	S	S	S
lealta_	OGGETTI	penna	S	S	S	N
filosofia	PERSONE	maestro	S	S	S	S
campeggio	EMOZIONI	spiaggia	N	N	N	N
estate	AZIONI	ombrelli	N	N	N	N
gentilezza	LUOGHI	amicizie	N	FS	N	FN
interesse	CARA	visionario	S	S	S	FS
cantiere	PERSONE	operai	S	S	S	S
separazione	OGGETTI	penna	S	S	S	FS
tregua	LUOGHI	dormire	N	FN	N	N
sorpresa	LUOGHI	ufficio	S	S	S	FN
accelerazione	EMOZIONI	pedale	N	N	N	N
alluvione	EMOZIONI	acqua	N	N	N	N
abitante	LUOGHI	comune	N	S	S	S
critica	EMOZIONI	libro	N	N	N	N
uova	EMOZIONI	piacere	S	S	S	S
problema	OGGETTI	risoluzione	N	S	N	FS
rissa	OGGETTI	colluttazione	N	S	N	FN
illusione	OGGETTI	Houdini	S	S	N	N
indagine	LUOGHI	universita_	S	S	S	S
bellezza	LUOGHI	social	N	S	N	S
scuola	PERSONE	rettrice	S	S	S	S
dovere	OGGETTI	piacere	N	S	N	FN
teschio	EMOZIONI	paura	S	S	S	S
ospedale	LUOGHI	struttura	N	S	FN	S
piacere	OGGETTI	divertimento	N	S	N	FN
filosofia	EMOZIONI	Kant	N	N	N	N
noia	CARA	silenzio	S	FS	S	FS
alluvione	AZIONI	svuotare__scatoloni	S	S	S	S
incubo	CARA	tenebroso	S	S	S	S
incubo	LUOGHI	divertimento	N	N	N	N
chitarra	EMOZIONI	suono	S	FN	N	N
guaio	AZIONI	bambini	N	FS	N	N
progresso	LUOGHI	stato	N	S	S	S
insegnante	FUNZIONI	studenti	N	FN	FS	N
ufficio	EMOZIONI	caffe_	N	N	N	N
scuola	EMOZIONI	alunni	N	N	N	N
gentilezza	OGGETTI	carezza	N	S	FS	FS
monastero	AZIONI	prete	N	N	N	N
stupore	LUOGHI	sbalordito	N	N	N	N
distruzione	EMOZIONI	citta	N	N	N	N
furto	EMOZIONI	soldi	N	N	N	N
ospedale	EMOZIONI	letto	N	N	N	N
chiesa	OGGETTI	preghiera	N	S	N	FS
prigioniero	EMOZIONI	rabbia	S	S	S	S
collina	EMOZIONI	paesaggio	N	N	N	N
giorno	PERSONE	professore	S	S	S	S
litigio	LUOGHI	strada	S	S	S	S
area	LUOGHI	terra	N	S	S	S
alba	PERSONE	sorgere	N	N	N	N
sorpresa	EMOZIONI	amici	N	N	N	N
stagione	OGGETTI	fiori	S	S	S	S
ernia	FUNZIONI	cantante	N	S	N	FN
carnevale	LUOGHI	piazze	S	S	S	S
uragano	LUOGHI	citta_	S	S	S	S
separazione	FUNZIONI	genitori	N	FS	N	N
schema	EMOZIONI	universita_	N	N	N	N
mistero	OGGETTI	tesero	N	N	S	S
cronaca	PERSONE	insegnante	S	S	S	FS
zucca	EMOZIONI	ortaggi	N	N	N	N
uragano	LUOGHI	Giappone	S	S	S	S
cerimonia	LUOGHI	comune	N	S	S	S
nebbia	CARA	bagnata	S	S	S	S
reazione	LUOGHI	spettacolo	N	FS	N	S
zebra	CARA	zoo	N	N	N	FN
palude	EMOZIONI	fango	N	N	N	FN
preparazione	LUOGHI	testa	N	S	N	FS
ideale	PERSONE	qualche__amico	S	S	S	FS
pace	AZIONI	morire	S	S	S	S
infermiera	PERSONE	cure	N	N	N	N
dolore	LUOGHI	tristezza	N	FN	N	FN
zebra	LUOGHI	savana	S	S	S	S
preparazione	PERSONE	capelli	S	FN	N	N
bacio	LUOGHI	ragazza	S	N	N	FS
depressione	LUOGHI	casa	S	S	S	S
cerimonia	OGGETTI	incoronazione	N	S	N	FN
comizio	EMOZIONI	completo__con__cravatta	N	N	N	N
carnevale	CARA	confusione	S	S	S	S
litigio	CARA	stressante	S	S	S	S
corona	FUNZIONI	re	N	FS	N	FS
fase	LUOGHI	fase__di__sviluppo	N	FS	N	S
collina	CARA	prato	N	FS	S	N
stupore	LUOGHI	espressione	N	S	N	S
atleta	OGGETTI	campo	S	S	S	S
valanga	OGGETTI	albero	S	S	S	FN
accelerazione	AZIONI	cuore	N	N	N	N
scopa	EMOZIONI	casa	N	N	N	N
follia	OGGETTI	punture	N	S	S	FN
cantiere	LUOGHI	citta_	S	S	S	S
giorno	EMOZIONI	universita_	N	N	N	N
rissa	FUNZIONI	ferire	S	S	S	S
ideale	LUOGHI	mondo	S	S	FS	S
soldato	LUOGHI	morte	N	FS	N	FS
atleta	PERSONE	corsa	N	N	N	N				
abitante	PERSONE	cittadino	S	S	S	S
cemento	OGGETTI	marciapiede	S	S	S	S
scuola	PERSONE	amicizia	N	FN	N	FS
labirinto	EMOZIONI	paura	S	S	S	S
fase	LUOGHI	crescita	N	FS	N	FS
teschio	EMOZIONI	scheletro	N	N	N	N
interesse	EMOZIONI	disco	N	N	N	N
cantiere	EMOZIONI	anziano	N	N	N	N
patto	OGGETTI	firma	N	S	S	S
turno	EMOZIONI	pesantezza	S	S	S	S
labirinto	PERSONE	disperdersi	N	N	N	N
chiesa	FUNZIONI	pregare	S	S	S	S
accelerazione	EMOZIONI	macchina	N	N	N	N
battesimo	FUNZIONI	benedire	S	S	S	S
insegnante	OGGETTI	pennarello	S	S	S	S
scopo	OGGETTI	diventare__qualcuno	N	FN	N	N
comizio	LUOGHI	fiera	N	S	S	S
ragione	LUOGHI	ufficio	S	S	S	S
maturita_	PERSONE	insegnate	N	S	S	S
gentilezza	LUOGHI	esterno	N	S	N	FS
caverna	LUOGHI	strapiombo	N	S	N	S
scopa	PERSONE	sesso	N	N	N	FS
paura	PERSONE	politico	S	S	S	FS
interesse	CARA	interessante	S	S	S	S
insegnante	OGGETTI	penna	S	S	S	S
calamita	AZIONI	ferro__di__cavallo	N	N	N	N
filosofia	EMOZIONI	felicita	S	S	S	S
giorno	AZIONI	riposare	S	S	S	S
banchiere	OGGETTI	soldi	S	S	S	S
destino	LUOGHI	coscienza	N	S	N	S
paura	FUNZIONI	killer	N	FS	N	N
stile	AZIONI	Balzac	N	FS	N	N
giorno	LUOGHI	sole	N	S	N	S
arma	AZIONI	pistola	N	FN	N	N
giardino	OGGETTI	rugiada	S	S	S	S
custode	FUNZIONI	qualcuno__che__ci__protegge	N	S	S	S
gentilezza	LUOGHI	amore	N	S	N	FS
corona	FUNZIONI	una__persona__importante	N	N	S	S
furto	EMOZIONI	frustrazione	S	S	S	S
destino	LUOGHI	ovunque	N	S	FN	S
incantesimo	AZIONI	incombere	S	S	S	S
calamita	LUOGHI	poli	N	S	FS	S
ombrello	EMOZIONI	pioggia	N	N	N	N
battesimo	LUOGHI	natura	N	S	S	S
sorpresa	FUNZIONI	amici	N	FS	N	N
zucca	CARA	verde	S	S	S	S
ufficio	EMOZIONI	porta__penne	N	N	N	N
accordo	PERSONE	uomo__razionale	S	S	S	S
cammello	PERSONE	turista	S	S	S	S
fascino	OGGETTI	luci	S	S	S	S
marea	AZIONI	lasciarsi__trasportare	S	S	S	S
depressione	AZIONI	cupo	S	N	N	N
comizio	LUOGHI	comune	N	S	S	S
progresso	AZIONI	aerei	N	N	N	FN
giustizia	LUOGHI	delitto	N	FN	N	FN
piacere	PERSONE	gioco	N	N	N	N
collina	EMOZIONI	felicita_	S	S	S	S
logica	LUOGHI	fuori	N	S	N	FS
bellezza	PERSONE	soggettiva	S	FN	N	FS
filosofia	OGGETTI	libri	S	S	S	S
dolore	PERSONE	elaborazione	N	N	N	FN
sorso	CARA	leggero	S	S	S	S
corona	EMOZIONI	re	N	N	N	N
litigio	PERSONE	discussione	N	N	N	FS
mistero	LUOGHI	serie	N	FS	N	FN
stazione	CARA	scale	S	FS	S	N
schiaffo	CARA	rosso	S	S	N	N
campeggio	PERSONE	appassionati	S	S	S	S
chitarra	FUNZIONI	pianista	N	N	N	N
stazione	AZIONI	biglietto	N	N	FS	N
amicizia	EMOZIONI	malinconia	S	S	S	S
ombrello	EMOZIONI	acqua	N	N	N	N
provincia	PERSONE	leccesi	S	S	S	S
pace	OGGETTI	bandiera__della__pace	S	S	S	S
clima	AZIONI	ventaglio	N	N	N	N
regina	PERSONE	madre	S	S	S	S
ospedale	PERSONE	cardiologo	S	S	S	S
fiducia	AZIONI	delegare	S	S	S	S
affetto	OGGETTI	cuore	S	S	FS	S
taverna	EMOZIONI	vini	N	N	N	N
prigione	FUNZIONI	evasore	N	N	N	N
cemento	PERSONE	gentrificazione	N	FN	N	N
talento	PERSONE	chef	S	S	S	S
prigione	EMOZIONI	solitudine	S	S	S	S
affetto	AZIONI	abbracciare	S	S	S	S
amarezza	CARA	infelice	S	S	S	S
legge	CARA	autoritaria	S	S	S	S
concetto	LUOGHI	chiaro	N	N	N	FN
bacio	OGGETTI	amore	N	FS	N	FS
taverna	FUNZIONI	mangiare	S	S	S	S
torta	EMOZIONI	fragola	N	N	N	N
lealta_	LUOGHI	natura	N	S	N	FS
sveglia	CARA	fastidiosa	S	S	S	S
passione	PERSONE	ballerino	S	S	S	S
campeggio	EMOZIONI	bungalow	N	N	N	N
morale	CARA	paternale	S	S	FS	S
talento	LUOGHI	campo	S	S	S	S
urna	OGGETTI	schede	S	S	S	S
albergo	FUNZIONI	sonno	S	FN	FS	S
campeggio	OGGETTI	utensili	S	S	S	S
abitante	AZIONI	lavorare	S	S	S	S
zebra	OGGETTI	strisce__pedonali	S	FN	FS	FS
caverna	EMOZIONI	paura	S	S	S	S
soldato	PERSONE	guerra	N	FN	N	FN
estate	LUOGHI	spiagge	S	S	S	S
progresso	CARA	all_avanguardia	S	S	S	S
torta	OGGETTI	panna	S	S	S	S
zucca	LUOGHI	vacanza	N	FS	N	FN
furto	LUOGHI	villa	S	S	S	S
negozio	EMOZIONI	scarpe	N	N	N	N
paura	EMOZIONI	bosco	N	N	N	N
ira	LUOGHI	prigione	S	S	S	S
infermiera	FUNZIONI	medico	N	FN	S	FN
valanga	AZIONI	sopravvivere	S	S	S	S
protesta	PERSONE	diffondere	N	N	N	S
strage	AZIONI	tirare__delle__bombe	S	S	S	S
carnevale	AZIONI	giocare	S	S	S	S
stile	FUNZIONI	particolare	S	FS	FS	FN
reazione	OGGETTI	azione	N	S	N	FN
turno	FUNZIONI	aspettare	S	S	S	S
incubo	LUOGHI	inconscio	N	S	FN	S
sollievo	OGGETTI	medicazione	N	S	S	S
monastero	OGGETTI	giardino	S	S	S	S
forchetta	EMOZIONI	compagnia	S	N	N	FS
esplorazione	EMOZIONI	storici	N	N	N	N
piacere	LUOGHI	viaggiare	N	FN	N	FS
filosofia	FUNZIONI	scoprire	S	S	S	S
provincia	LUOGHI	grande	N	N	N	FN
urna	EMOZIONI	rabbia	S	S	S	FS
ufficio	LUOGHI	costruzione	N	S	S	FS
teschio	PERSONE	essere__umano	S	S	S	S
monastero	CARA	tranquillo	S	S	S	S
fase	LUOGHI	casa	S	S	FS	FS
gioia	AZIONI	saltellare	S	S	S	S
collina	PERSONE	nonno	S	S	S	FS
scopa	OGGETTI	mocio	S	S	S	S
schiaffo	LUOGHI	dolore	N	N	N	FN
guaio	EMOZIONI	paura	S	S	S	S
cemento	FUNZIONI	lavorare	S	S	FS	S
concetto	PERSONE	diffusione	N	FN	N	FN
abbandono	EMOZIONI	rabbia	S	S	S	S
folla	EMOZIONI	iPhone	N	N	N	N
affetto	PERSONE	amore	N	FN	FN	FN
turista	EMOZIONI	Roma	N	N	N	N
turista	LUOGHI	sole	N	N	N	S
reazione	OGGETTI	allergica	S	FN	N	N
stile	LUOGHI	passerella	S	S	N	S
collina	PERSONE	esploratore	S	S	S	S
gita	LUOGHI	classe	N	S	S	S
prigione	AZIONI	catene	N	N	N	N
pugile	CARA	arrogante	S	S	S	S
prigioniero	PERSONE	crimini	N	N	N	FN
progresso	FUNZIONI	determinazione	S	S	N	FN
protesta	OGGETTI	tamburi	S	S	S	S
tregua	AZIONI	soldati	N	S	N	N
soldato	OGGETTI	pistola	S	S	S	S